title,company,location,duration,deadline,url,source,first_seen
Marketing Industrial Placement 2027,Unilever,"Kingston upon Thames / London, UK",12 months,2026-09-14 (applications open; rolling close),https://higherin.com/jobs/43072/unilever/register-your-interest-marketing-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Customer Development Industrial Placement 2027,Unilever,"Kingston upon Thames, UK",12 months,2026-09-14 (applications open; rolling close),https://higherin.com/jobs/43068/unilever/register-your-interest-customer-development-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
UK & Ireland Industrial Placement Programme,Unilever,UK & Ireland,12 months,"unknown (typically Q4, rolling)",https://careers.unilever.com/en/uk-and-ireland-early-careers-industrial-placements,Unilever UK industrial placements,2026-09-01
12-month internship programme (London),L'Oréal,"London, UK",12 months,unknown (talent community / rolling),https://higherin.com/jobs/42908/loreal/register-your-interest-placements-recruiting-before-december,Higherin (formerly RateMyPlacement),2026-09-01
UK industrial placement year (students),L'Oréal,"London, UK",12 months,unknown (rolling),https://careers.loreal.com/en_US/content/UKIntern,L'Oréal Careers UK intern,2026-09-01
Undergraduate work placement,PwC,UK (multiple offices),11 months,unknown (undergraduate applications from ~30 Sep),https://www.pwc.co.uk/careers/early-careers/undergraduate/undergraduate-work-placement.html,PwC UK Careers,2026-09-01
Industrial Placement programmes,Deloitte,UK (several locations),12 months,unknown (business areas open late Sep–early Oct),https://www.deloitte.com/uk/en/careers/early-careers/early-careers-programmes.html,Deloitte UK Early Careers,2026-09-01
Business & Financial Advisory Industrial Placement 2027,Deloitte,UK,12 months,unknown (rolling once open),https://higherin.com/jobs/43739/deloitte/register-your-interest-business-financial-advisory-industrial-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Stage Responsable Marketing Enseignes Nutrition,Nestlé,"Issy-les-Moulineaux, France",6 months,unknown,https://jobdetails.nestle.com/job/Issy-les-Moulineaux-Stage-Responsable-Marketing-Enseignes-Nutrition-FH-92130/1365796033/,Nestlé job details,2026-09-01
STAGE Marketing (6 months from Sep 2026),L'Oréal,Switzerland,6 months,unknown,https://careers.loreal.com/fr_FR/jobs/JobDetail/STAGE-H-F-D-Marketing-commen-ant-le-01-09-2026/235625,L'Oréal Careers,2026-09-01
Industrial Placement programmes,EY,UK (multiple offices),12 months,unknown (2026 applications closed; 2027 window later this year),https://www.ey.com/en_uk/careers/students/undergraduates/industrial-placement-programmes,EY UK industrial placements,2026-09-01
Audit Industrial Placement 2027,EY,UK,12 months,unknown (register interest until applications open),https://higherin.com/jobs/43379/ey/register-your-interest-audit-industrial-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Consulting Industrial Placement 2027,Accenture,"London, UK",12 months,"unknown (register interest; typically autumn, first-come)",https://higherin.com/jobs/42803/accenture/register-your-interest-consulting-industrial-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Undergraduate internship and placement programmes,Accenture,UK (London and other offices),12 months,unknown (rolling; check hub),https://www.accenture.com/gb-en/careers/life-at-accenture/internships-students,Accenture UK undergraduate internships,2026-09-01
One Year Business Placement,KPMG,UK (multiple offices),12 months,unknown (join talent community; typically autumn),https://www.kpmgcareers.co.uk/undergraduate/one-year-business-placement/,KPMG One Year Business Placement,2026-09-01
One Year Business Placement 2027,KPMG,UK,12 months,unknown (register interest until applications open),https://higherin.com/jobs/43488/kpmg/register-your-interest-one-year-business-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Business & Finance Placements 2027,Airbus,"UK (Broughton, Newport, Portsmouth, Bristol, Stevenage and others)",12–13 months,unknown (applications open early September 2026),https://higherin.com/jobs/42795/airbus/register-your-interest-business-finance-placements-2027,Higherin (formerly RateMyPlacement),2026-09-01
Business industrial placements,CGI,"UK (Bridgend, London, Manchester, Newcastle, Solihull)",12 months,unknown (2027 intake from October 2026),https://www.cgi.com/uk/en-gb/careers/early-careers/industrial-placements,CGI UK industrial placements,2026-09-01
Industrial Placements 2027 (Business Support from Nov),Mercedes-AMG PETRONAS F1 Team,"Brackley, UK",12 months,2026-11 (business support opens November 2026; technical closes 2026-09-15),https://www.mercedesamgf1.com/careers/industrial-placements,Mercedes-AMG F1 industrial placements,2026-09-01
Internships & Industrial Placements,P&G,UK,unknown (placement-type),unknown (roles typically live in October),https://www.pgcareers.com/uk/en/early-careers,P&G UK early careers,2026-09-01
Marketing Placement 2027,NBCUniversal,"London, UK",12 months,unknown (register interest; typically applications live in autumn),https://higherin.com/jobs/43145/nbcuniversal/register-your-interest-marketing-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Franchise Marketing Placement 2027,NBCUniversal,"London, UK",12 months,unknown (register interest),https://higherin.com/jobs/43151/nbcuniversal/register-your-interest-franchise-marketing-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Commercial Strategy Placement 2027,NBCUniversal,"London, UK",12 months,unknown (register interest),https://higherin.com/jobs/43147/nbcuniversal/register-your-interest-commercial-strategy-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Digital Marketing and Data Enablement Placement 2027,MSD,"London, UK",12 months,unknown (register interest),https://higherin.com/jobs/43292/msd/register-your-interest-digital-marketing-and-data-enablement-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Strategic Insights Placement 2027,MSD,"London, UK",12 months,unknown (register interest),https://higherin.com/jobs/43287/msd/register-your-interest-strategic-insights-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Supply Chain Management Placement 2027,Unilever,"UK (Kingston, Port Sunlight, Leeds, Burton)",12 months,2026-09-14 (applications open; rolling close),https://higherin.com/jobs/43077/unilever/register-your-interest-supply-chain-technical-placement-2027,Higherin (formerly RateMyPlacement),2026-09-01
Finance Industrial Placement 2027,Unilever,"Kingston upon Thames / London, UK",12 months,2026-09-14 (applications open; rolling close),https://higherin.com/jobs/43069/unilever/register-your-interest-finance-placement-2027,Higherin (formerly RateMyPlacement),2026-09-07
Supply Chain Non Technical Placement 2027,Unilever,"Leeds / Wirral / Kingston upon Thames, UK",12 months,2026-09-14 (applications open; rolling close),https://higherin.com/jobs/43074/unilever/register-your-interest-supply-chain-non-technical-placement-2027,Higherin (formerly RateMyPlacement),2026-09-07
Marketing Product & Programmes Placement 2027,Toyota GB,"Epsom, UK",12 months,unknown (register interest until applications open),https://higherin.com/jobs/43373/toyota-gb/register-your-interest-marketing-product-programmes-placement-2027,Higherin (formerly RateMyPlacement),2026-09-07
Marketing Communications Placement 2027,Toyota GB,"Epsom, UK",12 months,unknown (register interest until applications open),https://higherin.com/jobs/43371/toyota-gb/register-your-interest-marketing-communications-placement-2027,Higherin (formerly RateMyPlacement),2026-09-07
Business Placement 2027,Toyota GB,"Epsom, UK",12 months,unknown (register interest until applications open),https://higherin.com/jobs/43368/toyota-gb/register-your-interest-business-placement-2027,Higherin (formerly RateMyPlacement),2026-09-07
Finance Placement 2027,Toyota GB,"Epsom, UK",12 months,unknown (register interest until applications open),https://higherin.com/jobs/43369/toyota-gb/register-your-interest-finance-placement-2027,Higherin (formerly RateMyPlacement),2026-09-07
2027 Brand Placement,Hilton,"Watford, UK",12 months,2026-11-01,https://higherin.com/jobs/44049/hilton/2027-brand-placement,Higherin (formerly RateMyPlacement),2026-09-07
2027 Finance Placement (Watford),Hilton,"Watford, UK",12 months,2026-10-20,https://higherin.com/jobs/44057/hilton/2027-finance-placement-watford,Higherin (formerly RateMyPlacement),2026-09-07
2027 Sales Placement,Hilton,"Watford, UK",12 months,2026-11-01,https://higherin.com/jobs/44071/hilton/2027-sales-placement,Higherin (formerly RateMyPlacement),2026-09-07
2027 Customer Marketing Operations Placement (Glasgow),Hilton,"Glasgow, UK",12 months,2026-11-01,https://higherin.com/jobs/44053/hilton/2027-customer-marketing-operations-placement-glasgow,Higherin (formerly RateMyPlacement),2026-09-07
2027 Feasibility & Investment Analysis Placement,Hilton,"Watford, UK",12 months,2026-11-01,https://higherin.com/jobs/44055/hilton/2027-feasibility-investment-analysis-placement,Higherin (formerly RateMyPlacement),2026-09-07
2027 Industrial Placement - Global Banking - London,UBS,"London, UK",12 months,2026-09-30,https://higherin.com/jobs/43998/ubs/2027-industrial-placement-global-banking-london,Higherin (formerly RateMyPlacement),2026-09-07
Commercial Industrial Placement - Global Trading - London,ExxonMobil,"London, UK",13 months,unknown (2027 programme now recruiting),https://jobs.exxonmobil.com/job/London-Commercial-Industrial-Placement-Global-Trading-London-LND/1422465900/,ExxonMobil jobs,2026-09-07
Future Leader Business Placement,British Airways,"London Heathrow, UK",11 months,unknown (applications open autumn 2026),https://careers.ba.com/graduates-bps-and-interns,"British Airways graduates, business placements and interns",2026-09-07
Business Management and Marketing Assistant Placement 2027 - Personal Care & Kitchen,Panasonic,"Bracknell, UK",13 months,unknown (register interest until applications open),https://higherin.com/jobs/42948/panasonic/register-your-interest-business-management-and-marketing-assistant-placement-2027-personal-care-kitchen,Higherin (formerly RateMyPlacement),2026-09-07
Trade & Merchandising Intern - January 2027,LVMH Fragrance Brands,"Brussels, Belgium",6 months,unknown,https://www.lvmh.com/en/join-us/our-job-offers/LVMHFB02618,LVMH job offers,2026-09-07
STAGE - Chef de marché Proxi Paris - Janvier 2027,Danone,"Rueil-Malmaison / Paris, France",6 months,unknown,https://careers.danone.com/fr-global/jobs/stage-chef-de-marche-proxi-paris-janvier-2027-h-f-27155-fr-fr.html,Danone careers (students),2026-09-07
